,BB textfield,Seat tube length,Stack,Head tube upper extension2,Seat angle,CS textfield,FCD textfield,Seat tube extension2,Head tube lower extension2,Head angle,Saddle height,ERD rear,Wheel width rear,Dropout spacing,SPOKES composite front,SPOKES front,Wheel diameter front,SAME_SIZED_FRONT_AND_REAR,BSD front,Wheel diameter rear,SPOKES rear,Wheel width front,SPOKES composite rear,ERD front,BSD rear,SBLADEW front,SBLADEW rear,FORK0R,FORK0L,Saddle P,Saddle thickness,Saddle angle,Saddle J,Saddle H,Saddle E,SADDLETIPtoMIDDLE,Saddle length,Seatpost setback,Seatpost LENGTH,Lower stack height,Upper stack height,Headset spacers,Stem angle,CLAMPOFFSET,StemX,StemY,StemG,Collar height,Stem length,AEROF,Hand horizontal,Pad vertical,Display AEROBARS,Hand vertical,HBARRISE,MtnBar angle,Mountain bar sweep,MTNDROP,HBARTHETA,Mountain bar rise,Handlebar angle,Bullhorn reach,BULLTHETA,Road bar reach,BULLRADIUS2,Road bar drop,Brake lever position,Bullhorn drop,Bullhorn rise,Bullhorn angle,HBAREXTEND,HBARRAD1,HBARRAD2,Down tube front diameter,Down tube rear dia2,Down tube front dia2,Down tube rear diameter,Seat tube leading edge textfield,BB length,Seat tube chord length textfield,Top tube rear diameter,Down tube leading edge,Head tube diameter,DOWNTUBE Wheel cut,Wheel cut,Down tube aero diameter,Top tube rear dia2,Top tube front dia2,BB diameter,Head tube chord,Seat tube diameter,OFFSET_AT_BB st,Top tube front diameter,Head tube d,Head tube B,Head tube E,Head tube D,OFFSET_AT_BB dt,CHAINSTAYOFFSET,CHAINSTAYAUXrearDIAMETER,Chain stay horizontal diameter,Chain stay position on BB,Chain stay taper,Chain stay back diameter,Chain stay vertical diameter,CHAINSTAYbrdgdia1,CHAINSTAYbrdgshift,CHAINSTAYbrdgCheck,Seat stay junction0,Seat stay bottom diameter,SEATSTAY_HF,SSTopZOFFSET,SEATSTAY_HR,SEATSTAYTAPERLENGTH,SEATSTAYbrdgdia1,SEATSTAYbrdgoffset,bottle SEATTUBE0 WBX,bottle SEATTUBE0 WBY,bottle SEATTUBE0 CAGE,bottle DOWNTUBE0 X,bottle DOWNTUBE0 CAGE,bottle DOWNTUBE0 WBY,bottle DOWNTUBE0 WBX,bottle SEATTUBE0 X,Front Fender clearance,Front fender end angle,Front Fender include,Rear Fender include,Rear fender end angle,Fender clearance,Rear fender start angle,Front fender start angle,FDDIST,SPIDER_DIAMETER,Crank length,Number of cogs,Crank Q factor,PEDAL_LENGTH,Teeth on cog 2,Teeth on cog 3,Teeth on cog 4,Teeth on cog 5,Teeth on cog 6,Teeth on cog 7,Teeth on cog 8,Teeth on cog 9,Pedal width,Teeth on cog 10,Number of chainrings,Teeth on chainring 0,Teeth on chainring 1,Teeth on chainring 2,CassZ,CassT,CassA,Teeth on cog 11,Display RACK,Dropout spacing style,RIM_STYLE front,RIM_STYLE rear,Fork type,HEADSETprofile,Stem kind,Aerobar style,Brake lever brand,Handlebar style,TRACK_ERGO,Head tube type,Seat tube type,Top tube type,bottle SEATTUBE0 show,bottle DOWNTUBE0 show,BELTorCHAIN,MOUNT_TYPE,BRAZEonFDTYPE,DIRECTMOUNTFDTYPE,CLAMPFDTYPE,spc type
1,67.0,588.7,565.6,40.0,72.5,430.0,580.3,28.7,50.0,73.0,768.0,582.0,35.0,130.0,1,7,689.0,False,622.0,689.0,7,35.0,1,582.0,622.0,80.0,80.0,45.0,403.0,-10.0,55.0,0.0,40.0,30.0,28.0,165.0,298.0,20.0,300,13.7,24.8,15.0,-10.0,0.0,100,145.0,16.0,40.0,120.0,30,170,20.0,False,30,0.0,0.0,16.4,-0.0,60.0,180.0,9.0,150,40,80.0,30,139.0,43,10.0,50.0,10.0,29.0,60.0,80.0,42.0,34.9,42.0,34.9,19.1,68.0,60.0,30.0,19.1,45.0,0,692.0,54.9,30.0,35.0,40.0,60,34.0,0.0,35.0,36.0,30.0,8.0,45.0,0.0,0.0,17.0,18.1,15.0,200.0,17.0,29.7,18.0,350.0,False,45.0,13.0,17.0,7.0,13.0,200,16.0,0,15,14.0,1,200.0,1,14.0,15.0,200,20.0,190.0,False,False,180.0,20.0,-10.0,80.0,146,150.0,172.5,9,140.0,81.0,13,15,17,19,21,23,25,28,89.0,25,1,53,39,24,8.0,1.6,3.95,0,False,2,SPOKED,SPOKED,0,0,0,1,SHIMANO,0,0,1,2,1,False,False,1,BRAZEON,FD9000F,FDM9000D,FD9000B,0
2,-14.5,265.0,565.6,23.3,71.5,350.0,570.0,39.1,23.1,71.5,330.0,467.0,25.4,135.0,1,7,611.0,True,507.0,611.0,7,25.4,1,467.0,507.0,80.0,80.0,45.0,403.0,10.0,50.0,23.0,50.0,40.0,35.0,135.0,240.0,20.0,100,20.0,5.0,15.0,0.0,0.0,100,145.0,16.0,30.0,40.0,30,170,20.0,False,30,0.0,17.0,16.4,-0.0,68.0,55.0,4.0,150,40,87.0,30,139.0,46,10.0,50.0,4.0,29.0,50.0,40.0,38.1,34.9,38.1,34.9,19.1,68.0,60.0,33.0,19.1,45.0,0,692.0,54.9,33.0,25.4,40.0,60,31.8,0.0,25.4,36.0,30.0,8.0,45.0,0.0,0.0,18.0,18.0,15.0,200.0,18.0,26.0,18.0,350.0,False,45.0,20.0,18.6,8.0,17.0,200,16.0,0,15,14.0,1,200.0,1,14.0,15.0,200,20.0,190.0,False,False,180.0,20.0,-10.0,80.0,146,80.0,170.0,0,100.0,81.0,13,15,17,19,21,23,25,27,70.0,30,0,28,32,22,8.0,1.78,4.34,0,False,1,SPOKED,SPOKED,1,3,0,1,CAMPAGNOLO,1,0,1,1,0,False,False,1,BRAZEON,FD9000F,FDM9000D,FD9000B,0
3,4.0,562.0,565.6,36.5,74.0,415.0,655.4,45.9,35.9,72.0,763.0,519.0,38.1,135.0,1,7,628.0,True,559.0,628.0,7,38.1,1,519.0,559.0,80.0,80.0,35.0,380.0,10.0,52.0,0.0,50.0,30.0,24.0,148.0,278.0,21.0,300,13.7,24.8,10.0,0.0,0.0,100,145.0,16.0,38.0,80.0,30,170,20.0,False,30,0.0,10.0,16.4,-0.0,68.0,8.0,17.0,150,40,87.0,30,139.0,31,10.0,50.0,8.0,29.0,50.0,40.0,32.0,36.0,32.0,36.0,19.1,68.0,60.0,31.8,19.1,36.4,0,692.0,54.9,31.8,25.4,38.1,60,28.6,0.0,25.4,36.0,30.0,8.0,45.0,0.0,0.0,12.5,23.0,14.0,360.0,12.5,25.0,18.0,350.0,False,45.0,10.5,16.0,25.0,12.5,300,16.0,0,15,14.0,1,184.0,1,14.0,15.0,184,10.0,190.0,False,False,148.0,10.0,-8.0,90.0,146,95.0,175.0,0,140.0,100.0,13,15,17,19,21,23,25,27,95.0,30,0,36,36,24,8.0,1.78,4.34,0,False,1,SPOKED,SPOKED,0,0,0,1,CAMPAGNOLO,1,0,1,1,0,False,False,1,BRAZEON,FD9000F,FDM9000D,FD9000B,0
4,50.0,460.0,565.6,29.1,73.5,375.0,552.8,19.0,33.9,70.5,600.0,531.0,23.0,130.0,1,4,623.0,False,571.0,623.0,4,23.0,1,531.0,571.0,80.0,80.0,45.0,335.0,-10.0,55.0,1.0000000000000933,40.0,30.0,28.0,165.0,298.0,21.0,140,13.7,17.7,30.0,-20.0,0.0,100,145.0,16.0,25.0,90.0,30,170,20.0,False,30,0.0,20.0,16.4,-10.0,70.0,10.0,10.000000000000108,150,40,75.0,30,123.0,52,10.0,50.0,8.0,30.0,70.0,70.0,32.0,36.0,32.0,36.0,19.1,68.0,60.0,25.4,19.1,31.7,0,692.0,54.9,25.4,25.4,38.1,60,28.6,0.0,25.4,36.0,30.0,8.0,45.0,0.0,0.0,12.5,22.2,15.0,300.0,12.5,22.2,18.0,350.0,False,40.0,10.5,14.0,10.6,10.5,300,16.0,0,15,14.0,0,200.0,0,14.0,15.0,140,10.0,210.0,False,False,180.0,10.0,-8.0,55.0,146,148.0,165.0,9,140.0,100.0,15,17,18,19,20,21,23,25,65.0,25,1,48,34,22,8.0,1.78,4.34,0,False,2,SPOKED,SPOKED,0,0,0,1,CAMPAGNOLO,0,0,1,1,0,False,False,1,BRAZEON,FD9000F,FDM9000D,FD9000B,0
5,24.0,300.0,565.6,20.2,72.5,431.79,605.3,36.4,54.3,72.1,350.0,519.0,55.8,135.0,1,7,670.0,True,559.0,670.0,7,55.8,1,519.0,559.0,80.0,80.0,45.0,403.0,10.0,52.0,20.0,50.0,30.0,34.0,110.0,210.0,21.0,250,4.0,15.0,15.0,0.0,0.0,100,145.0,16.0,40.0,50.0,30,170,20.0,False,30,0.0,20.0,16.4,-0.0,68.0,30.0,4.0,150,40,87.0,30,139.0,46,10.0,50.0,4.0,29.0,50.0,40.0,38.1,34.9,38.1,34.9,19.1,68.0,60.0,33.0,19.1,50.0,0,692.0,54.9,33.0,25.4,40.0,60,31.8,0.0,25.4,36.0,30.0,8.0,45.0,0.0,0.0,18.0,18.0,15.0,200.0,18.0,26.0,18.0,350.0,False,41.0,15.0,18.6,8.0,17.0,200,16.0,0,15,14.0,1,150.0,1,11.2,12.0,200,20.0,190.0,False,False,180.0,20.0,-10.0,80.0,146,99.0,175.0,0,0.0,100.0,15,17,19,22,26,30,34,23,65.0,25,0,28,32,22,8.0,1.78,4.34,0,False,1,SPOKED,SPOKED,1,1,0,1,CAMPAGNOLO,1,0,1,2,0,False,False,1,BRAZEON,FD9000F,FDM9000D,FD9000B,0
6,17.0,315.0,565.6,20.1,71.6,311.9,550.0,50.1,25.0,80.6,350.0,366.0,44.4,120.0,3,4,486.0,False,406.0,486.0,4,44.4,3,366.0,406.0,40.0,40.0,15.0,305.0,10.0,50.0,20.0,50.0,40.0,35.0,135.0,240.0,21.0,300,20.0,5.0,15.0,0.0,0.0,100,145.0,16.0,30.0,50.0,30,170,20.0,False,30,0.0,15.0,26.4,-5.0,68.0,150.0,4.0,150,40,87.0,30,139.0,46,10.0,50.0,4.0,29.0,50.0,40.0,38.1,34.9,38.1,34.9,19.1,68.0,60.0,33.0,19.1,45.0,0,692.0,54.9,33.0,25.4,40.0,60,31.8,0.0,25.4,36.0,30.0,8.0,45.0,5.0,0.0,18.0,18.0,125.0,300.0,28.0,26.0,18.0,350.0,False,45.0,20.0,18.6,8.0,17.0,200,16.0,0,15,14.0,1,190.0,1,12.2,16.0,200,5.0,190.0,False,False,80.0,5.0,-0.0,80.0,146,80.0,170.0,0,100.0,81.0,30,40,50,60,70,80,90,100,90.0,110,0,28,32,22,8.0,1.78,4.34,0,False,3,SPOKED,SPOKED,0,0,0,0,CAMPAGNOLO,1,0,1,1,0,False,False,1,BRAZEON,FD9000F,FDM9000D,FD9000B,0
7,29.86302492792601,535.0,565.6,28.5,72.03483637778452,425.0,695.9,50.0,50.0,69.53483637778452,755.0,519.0,55.8,135.0,1,5,670.0,True,559.0,670.0,5,55.8,1,519.0,559.0,80.0,80.0,45.0,403.0,10.0,52.0,-0.5,50.0,30.0,34.0,148.0,278.0,21.0,400,12.5,12.5,30.0,6.0,0.0,100,145.0,16.0,40.0,90.0,30,170,20.0,False,30,0.0,25.0,10.0,15.0,68.0,30.0,15.0,150,40,87.0,110,139.0,46,10.0,50.0,15.0,29.0,50.0,40.0,52.0,34.9,52.0,34.9,19.1,100.0,60.0,35.0,19.1,40.0,0,692.0,54.9,35.0,25.4,37.5,60,35.0,0.0,25.4,36.0,30.0,8.0,45.0,0.0,0.0,17.0,20.8,15.0,140.0,17.0,33.0,18.0,350.0,False,65.0,17.0,20.0,11.2,20.0,300,16.0,0,15,14.0,1,224.0,1,14.0,15.0,190,20.0,190.0,False,False,180.0,20.0,-10.0,80.0,146,150.0,175.0,8,180.0,81.0,14,16,18,20,24,28,32,23,85.0,25,2,44,32,24,8.0,1.78,4.34,0,False,1,SPOKED,SPOKED,1,0,0,1,SHIMANO,1,0,1,2,0,False,False,1,BRAZEON,FD9000F,FDM9000D,FD9000B,0
8,43.0,520.0,565.6,27.0,73.0,425.0,680.3,62.0,70.0,70.0,753.0,544.0,42.0,135.0,1,7,699.0,True,584.0,699.0,7,42.0,1,544.0,584.0,80.0,80.0,25.0,408.0,10.0,52.0,-4.134721085902573e-14,50.0,30.0,34.0,148.0,278.0,21.0,400,0.0,0.0,20.0,-8.0,0.0,100,145.0,16.0,40.0,110.0,30,170,20.0,False,30,0.0,0.0,16.4,10.0,68.0,30.0,14.999999999999954,150,40,87.0,110,139.0,46,10.0,50.0,15.0,29.0,50.0,40.0,55.0,34.9,55.0,34.9,19.1,100.0,60.0,34.0,19.1,45.0,0,692.0,54.9,34.0,50.0,35.0,60,35.0,0.0,50.0,36.0,30.0,8.0,45.0,0.0,0.0,17.0,20.8,15.0,200.0,17.0,29.7,18.0,350.0,False,77.0,17.0,20.0,11.2,20.0,200,16.0,0,15,14.0,1,220.0,1,14.0,15.0,172,20.0,190.0,False,False,180.0,20.0,-10.0,80.0,146,109.0,175.0,9,180.0,81.0,15,17,19,22,25,28,32,36,70.0,25,2,42,32,22,8.0,1.78,4.34,0,False,1,SPOKED,SPOKED,1,0,0,1,SHIMANO,1,0,1,2,1,False,False,1,BRAZEON,FD9000F,FDM9000D,FD9000B,0
9,73.5,524.4,565.6,28.1,74.0,450.0,600.6,34.4,39.1,73.0,718.0,582.0,28.0,130.0,1,4,680.0,False,622.0,680.0,5,28.0,1,582.0,622.0,80.0,80.0,65.0,390.0,10.0,52.0,1.0,50.0,30.0,34.0,148.0,278.0,21.0,180,12.9,24.5,10.0,-6.0,0.0,100,145.0,16.0,60.0,110.0,30,170,20.0,False,30,0.0,20.0,16.4,-10.0,68.0,10.0,25.0,150,40,87.0,30,139.0,75,10.0,50.0,8.0,29.0,50.0,40.0,32.0,36.0,32.0,36.0,19.1,68.0,60.0,31.8,19.1,31.8,0,692.0,54.9,31.8,25.4,38.1,60,28.6,0.0,25.4,36.0,30.0,8.0,45.0,0.0,0.0,12.5,22.2,15.0,300.0,12.5,22.2,18.0,350.0,False,40.0,10.5,14.0,10.6,10.5,300,16.0,0,15,14.0,0,200.0,0,14.0,15.0,140,10.0,0.0,False,False,0.0,10.0,0.0,0.0,146,147.2,0.0,9,140.0,81.0,15,17,19,21,23,25,28,30,43.0,25,2,50,40,30,8.0,1.6,3.95,0,True,2,SPOKED,SPOKED,0,0,0,1,CAMPAGNOLO,0,0,1,1,0,True,True,1,BRAZEON,FD9000F,FDM9000D,FD9000B,0
10,41.0,457.0,565.6,25.9,73.0,443.0,648.2,74.2,68.1,72.0,830.0,582.0,57.0,135.0,1,7,745.0,False,622.0,740.0,7,57.0,1,582.0,622.0,80.0,80.0,50.0,375.0,-10.0,55.0,1.2722218725854067e-14,40.0,30.0,28.0,165.0,298.0,21.0,300,15.0,17.0,10.0,0.0,0.0,100,145.0,16.0,40.0,80.0,30,170,20.0,False,30,0.0,350.0,16.4,-10.0,68.0,10.0,4.000000000000012,150,40,87.0,110,139.0,46,10.0,50.0,4.0,29.0,50.0,40.0,38.1,34.9,38.1,34.9,19.1,68.0,60.0,40.0,19.1,40.0,0,692.0,54.9,40.0,25.4,40.0,60,31.8,0.0,25.4,36.0,30.0,8.0,45.0,0.0,0.0,18.0,18.0,15.0,200.0,18.0,26.0,18.0,350.0,False,55.0,17.0,18.6,8.0,17.0,200,16.0,0,15,14.0,1,220.0,0,14.0,15.0,176,10.0,180.0,False,False,160.0,10.0,-10.0,95.0,146,148.0,175.0,8,140.0,100.0,15,17,19,22,26,30,34,23,65.0,25,0,39,32,22,8.0,1.6,3.95,0,False,1,SPOKED,SPOKED,1,0,0,1,CAMPAGNOLO,1,0,1,2,0,False,False,1,BRAZEON,FD9000F,FDM9000D,FD9000B,0
