,SaddleY@Mainsketch,UpperLeg@Mainsketch,HandleX@Mainsketch,HandleY@Mainsketch,Arm@Mainsketch,SaddleX+.2@Mainsketch,CrankLength@Mainsketch,LowerLeg@Mainsketch,TorsoLength@Mainsketch,Neckandhead@Mainsketch,TorsoWidth@Widthdef
Config_0000,0.7323,0.40873469250588246,0.4809599674292643,0.6376306319103601,0.6133928587431372,0.4142,0.175,0.5305602027556864,0.5445602027556864,0.2915102049960784,0.3625836720062746
Config_0001,0.569,0.37894081908106875,0.4799029584433987,0.3940780917095064,0.6772622283131603,0.39,0.165,0.5202405415549669,0.4916398679690958,0.3280069876075202,0.33080354035314
Config_0002,0.3284,0.4230104814112802,0.4084284367193409,0.5978816482730362,0.6258476222612469,0.321,0.175,0.4776398679690958,0.5342405415549669,0.29862721272071246,0.3778111801720323
Config_0003,0.7190000000000001,0.3738367076665599,0.505,0.6890000000000001,0.6425058739613559,0.423,0.175,0.5554894957862239,0.4992727497884526,0.27431758911294907,0.35664084515566946
Config_0004,0.573,0.4345236163305764,0.4949029584433987,0.3330780917095064,0.6059498704343393,0.395,0.17,0.5155620098536949,0.5507272502115474,0.3147755282222934,0.29190814258071857
Config_0005,0.7062,0.44438195602264957,0.4753491528505998,0.6096478301137377,0.6641747616401775,0.3963,0.17,0.49933474810566997,0.5082051672945889,0.33136021794607073,0.3831763487137132
Config_0006,0.6809999999999999,0.39561606327986365,0.3661070657486469,0.7748150362256944,0.6016503440762646,0.409,0.175,0.5650192241552279,0.5181211388294652,0.26774536265156695,0.3435091972074596
Config_0007,0.5766,0.4187997050774875,0.4503470276778825,0.6488451339149909,0.6831303814056238,0.366,0.175,0.5277948327054112,0.4957102850917621,0.32052843522295854,0.3658454963567337
Config_0008,0.7290000000000001,0.4280403269191061,0.5179195478842115,0.5187597005439977,0.6453020738265076,0.42700000000000005,0.17300000000000001,0.5492223160218026,0.5024837689267101,0.28947156477704145,0.29882365128628685
Config_0009,0.679,0.3697170296296074,0.5844501600375711,0.6190657428241465,0.6556693397184449,0.38799999999999996,0.17,0.52390779922458,0.5307158734445351,0.27148120554453115,0.31442365189742727
Config_0010,0.579,0.3238837591781563,0.39799999999999996,0.662,0.6328780543897317,0.415,0.165,0.5521161170018918,0.5524566709327303,0.32161021756410796,0.337231364013469
Config_0011,0.679,0.38967528256509293,0.4272063803935129,0.6452828859364053,0.6956578902970706,0.38799999999999996,0.17,0.505284126555465,0.5120922007754201,0.2943318058751744,0.39463007112875026
